,startingpos,error,model,heading,LPE
0,8,visual_angle,threshold,1,0.03955878792450928
1,4,visual_angle,threshold,1,0.020942887724740213
2,0,visual_angle,threshold,1,0.020942887724740213
3,8,visual_angle,threshold,2,0.060492460951001685
4,4,visual_angle,threshold,2,0.041879396043001164
5,0,visual_angle,threshold,2,0.041879396043001164
0,8,lat_pos,threshold,1,0.040722281686994856
1,4,lat_pos,threshold,1,0.020942887724740213
2,0,lat_pos,threshold,1,0.020942887724740213
3,8,lat_pos,threshold,2,0.051185928497001425
4,4,lat_pos,threshold,2,0.041879396043001164
5,0,lat_pos,threshold,2,0.041879396043001164
