,startingpos,error,model,heading,LPE
0,8,visual_angle,accumulator,1,0.27691151547156445
1,4,visual_angle,accumulator,1,0.21408285229734408
2,0,visual_angle,accumulator,1,0.17219707684786384
3,8,visual_angle,accumulator,2,0.40018089552201114
4,4,visual_angle,accumulator,2,0.288502506074008
5,0,visual_angle,accumulator,2,0.2187035126690061
0,8,lat_pos,accumulator,1,0.23735272754705533
1,4,lat_pos,accumulator,1,0.1768510518978061
2,0,lat_pos,accumulator,1,0.13729226397329697
3,8,lat_pos,accumulator,2,0.3489949670250097
4,4,lat_pos,accumulator,2,0.2373165775770066
5,0,lat_pos,accumulator,2,0.17682411662600492
